Kırmızı olanlar
(0,0,K)
(0,1,K)
(0,2,K)
(0,3,K)
(0,4,K)
(0,5,K)
(0,6,K)
(0,7,K)
(0,8,K)
(0,9,K)
(0,10,K)
(0,11,K)
(0,12,K)
(0,13,K)
(0,14,K)
(1,0,K)
(1,2,K)
(1,10,K)
(1,14,K)
(2,0,K)
(2,2,K)
(2,4,K)
(2,5,K)
(2,6,K)
(2,8,K)
(2,10,K)
(2,12,K)
(2,13,K)
(2,14,K)
(3,0,K)
(3,4,K)
(3,8,K)
(3,10,K)
(3,14,K)
(4,0,K)
(4,2,K)
(4,3,K)
(4,4,K)
(4,6,K)
(4,7,K)
(4,8,K)
(4,10,K)
(4,12,K)
(4,14,K)
(5,0,K)
(5,4,K)
(5,6,K)
(5,10,K)
(5,12,K)
(5,14,K)
(6,0,K)
(6,1,K)
(6,2,K)
(6,3,K)
(6,4,K)
(6,6,K)
(6,8,K)
(6,9,K)
(6,10,K)
(6,11,K)
(6,12,K)
(6,14,K)
(7,0,K)
(7,6,K)
(7,8,K)
(7,14,K)
(8,0,K)
(8,1,K)
(8,2,K)
(8,3,K)
(8,4,K)
(8,5,K)
(8,6,K)
(8,8,K)
(8,10,K)
(8,11,K)
(8,12,K)
(8,14,K)
(9,0,K)
(9,4,K)
(9,8,K)
(9,10,K)
(9,12,K)
(9,14,K)
(10,0,K)
(10,2,K)
(10,4,K)
(10,6,K)
(10,7,K)
(10,8,K)
(10,10,K)
(10,12,K)
(10,14,K)
(11,0,K)
(11,2,K)
(11,4,K)
(11,6,K)
(11,10,K)
(11,12,K)
(11,14,K)
(12,0,K)
(12,2,K)
(12,3,K)
(12,4,K)
(12,6,K)
(12,7,K)
(12,8,K)
(12,10,K)
(12,12,K)
(12,14,K)
(13,0,K)
(13,10,K)
(13,14,K)
(14,0,K)
(14,1,K)
(14,2,K)
(14,3,K)
(14,4,K)
(14,5,K)
(14,6,K)
(14,7,K)
(14,8,K)
(14,9,K)
(14,10,K)
(14,11,K)
(14,12,K)
(14,13,K)
(14,14,K)
